"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"Novelists","term","041-003203506","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000301","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard, 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(25)","","","Inscription: Handwritten in pencil on verso: 2/ 5960.5.26/ N/ 23./ ½ Ad. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. (One of four copies.)",""
"Novelists","term","041-003203507","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000302","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(26)","","","Inscription: Handwritten in pencil on verso: 5/ 5960.5.26/ N. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. (One of four copies.)",""
"Novelists","term","041-003203508","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000303","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard, 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(27)","","","Inscription: Handwritten in pencil on verso: 6/ 5960.5.26/ N. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. (One of four copies.)",""
"Novelists","term","041-003204111","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00055e","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard [1976]. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 354 mm x 279 mm","","Visual Arts. Godwin Photo 3(4)","","","Inscription: Godwin's signature on mount. Handwritten in pencil on verso: J G Ballard. Genre: Portrait Photography. Close-up of Ballad with his face turned slightly to the left and is also from the left; he wears a shirt with rows of white polka dots and a leather jacket. Dry mounted on board with Godwin's signature, image size 272 x 181 mm",""
"Novelists","term","041-003204171","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00059a","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 279 mm x 355 mm","","Visual Arts. Godwin Photo 4(2)","","","Inscription: Inscribed in pencil on verso: 3/ 5960.5.26/ N/ 22/ I min Ad/ J G Ballard 84/ © Fay Godwin [signature]. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. Image size 275 x 182 mm",""
"Novelists","term","041-003204205","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x0005bc","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","Portraits of J.G. Ballard: correspondence, contact sheets and prints. Photographer: Godwin, Fay","","","","","","","1976-1987","","1 item","","Visual Arts. Godwin Photo 5/11(1)","","","Genre: Portrait Photography. Correspondence 1977-87. Fourteen 35mm contact sheets from two sessions in 1976/7 (films 2744, 2745, 2746, 2747) and 1984 (films 5947, 5948, 5949, 5950, 5950A, 5959, 5959A, 5960, 5962, 5963). Fourteen loose 203 x 254 mm prints: 2744-3-14 (6 copies); 2744-6-31 (4 copies); 2746-2-34a; 5960-5-26; 5959-6-27 (2 copies). 59 loose 178 x 127 mm prints: 2744-2-10 (9 copies); 2744-3-14 (2 copies); 2744-3-17 (4 copies); 2744-4-24 (4 copies); 2744-5-27 (3 copies); 2744-6-31 (2 copies); 2746-2-35; 2746-3-26a (3 copies); 2747-1-35a (7 copies); 2747-3-22a (3 copies); 5947-7-35a; 5950-4-18a; 5950-6-28 (4 copies); 5959-7-33; 5959-6-27 (3 copies); 5959a-1-36; 5960-5-26 (2 copies); 5960-6-30 (4 copies); 5962-6-30; 5963-3-16",""
"Novelists, English--20th century--Biography","general term","014100194","Monograph","Language material ; Text","Volume","GBA783546","","9780007270729","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Miracles of life : Shanghai to Shepperton : an autobiography","","","","England","London","Fourth Estate","2008","","viii, 278 pages, illustrations, 23 cm","823.914","YK.2008.a.16774","Biography","English","",""
"Novelists, English--20th century--Biography","general term","014632838","Monograph","Language material ; Text","Volume","GBA872796","","9780007272341","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Miracles of life : Shanghai to Shepperton : an autobiography","","","","England","London","Harper Perennial","2008","","278 pages, illustrations, portraits, 20 cm","823.914","","Biography","English","Originally published: London : Fourth Estate, 2008",""
"Novelists, English--20th century--Biography","general term","014782993","Monograph","Language material ; Text","Volume","GBA8C1396","","9780753195246","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Miracles of life : Shanghai to Shepperton : an autobiography","","","","England","Oxford","ISIS","2009","Large print edition","249 pages (large print), 25 cm","823.914","LT.2009.x.390","Biography","English","Originally published: London: Fourth Estate, 2008",""
"Novelists, English--20th century--Biography","general term","015813334","Monograph","Language material ; Text","Volume","GBB161703","","9780297863526","Baxter, John","1939-","person","","Baxter, John, 1939- [person]","The inner man : the life of J.G. Ballard","","","","England","London","Weidenfeld & Nicolson","2011","","377 pages, 16 pages of plates, illustrations (some colour), portraits (some colour), 24 cm","823.914","YK.2012.a.13855","Biography","English","",""
"Novelists, English--20th century--Biography","general term","016062793","Monograph","Language material ; Text","Volume","GBB233469","","9780297863533 ; 9780753828892","Baxter, John","1939-","person","","Baxter, John, 1939- [person]","The inner man : the life of J.G. Ballard","","","","England","London","Phoenix","2012","","1 volume, illustrations (some colour), 20 cm","823.914","","Biography","English","Originally published: London: Weidenfeld & Nicolson, 2011",""
"O'Neil, Amy, 1971---Exhibitions","person","013035790","Monograph","Language material ; Text","Volume","","","9782868479747","","","","","Ballard, J. G., 1930-2009 [person] ; Galerie Art & essai [organisation]","Doubtiful, dans les plis du réel : Gilles Barbier, François Curlet, Leandro Erlich, Carsten Höller, Didier Marcel, Aernout Mik, Amy O'Neil, Cerith Wyn Evans","","Collection Métiers de l'exposition","","France","Rennes","Presses universitaires de Rennes","2004","","144 pages, colour illustrations, 23 cm","","YF.2005.a.15715","Exhibition","French","'Publication éditée à l'occasion de l'exposition présentée à la galerie art et essai de l'université Rennes 2 du 19 mai au 26 juin 2004'--Prelim. p",""
"Obsessive-compulsive disorder--Fiction","general term","007687914","Monograph","Language material ; Text","Volume","GB7316846","","9780224007825","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","London","Cape","1973","","224 pages, 21 cm","823.91","","Fiction","English","",""
"Occupations","term","041-003202769","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000020","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard '76. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(29)","","","Genre: Portrait Photography. J G Ballard stands to the left of a contemporary waist-high garden sculpture in the shape of a fungus. He wears plaid trousers, a checked shirt and large lapel jacket and is looking slightly to the left",""
"Occupations","term","041-003202770","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000021","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard '76. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(30)","","","Genre: Portrait Photography. J G Ballard stands to the left of a contemporary waist-high garden sculpture in the shape of a fungus. He wears plaid trousers, a checked shirt and large lapel jacket, which is fastened. He is looking beyond the camera to the right and slightly upwards",""
"Occupations","term","041-003202771","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000022","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard '84. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(31)","","","Genre: Portrait Photography. Half-length portrait of Ballard sitting at an angle on a high-back chair. He faces the camera with his left hand resting on the top of the chair. He wears an open-necked striped shirt and leather jacket",""
"Occupations","term","041-003202772","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000023","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(32)","","","Genre: Portrait Photography. Half-length portrait of Ballard sitting at an angle on a high-back chair; he faces the camera and has his left hand resting on the top of the chair. He wears an open-necked striped shirt and leather jacket",""
"Occupations","term","041-003202773","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000024","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, 1984, UK writer and novelist. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(33)","","","Genre: Portrait Photography. Half-length portrait of Ballard sitting at an angle on a high-back chair; he faces the camera and has his left hand resting on the top of the chair. He wears an open-necked striped shirt and leather jacket",""
"Occupations","term","041-003202774","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000025","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard '84. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 127 mm x 176 mm","","Visual Arts. Godwin Photo 1(34)","","","Genre: Portrait Photography. Cropped and close-up view of Ballard's face turned three quarters to the left and looking slightly downwards",""
"Occupations","term","041-003202775","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000026","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, 1984, UK novelist. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 127 mm x 176 mm","","Visual Arts. Godwin Photo 1(35)","","","Genre: Portrait Photography. Cropped and close-up view of Ballard's face turned three quarters to the left and looking slightly downwards",""
"Occupations","term","041-003202776","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000027","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard '84. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(36)","","","Genre: Portrait Photography. Cropped and close-up view of Ballard's face tilted slightly to the left and facing the camera",""
"Occupations","term","041-003202777","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000028","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(37)","","","Genre: Portrait Photography. Head and shoulders portrait of Ballard sitting in an armchair and facing left. He wears a striped shirt and leather jacket",""
"Occupations","term","041-003202778","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000029","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard '84. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(38)","","","Genre: Portrait Photography (generic types). Head and shoulders portrait of Ballard sitting in an armchair and facing left. He wears a striped shirt and leather jacket",""
"Occupations","term","041-003202779","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00002a","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, UK writer and novelist 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(39)","","","Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera",""
"Occupations","term","041-003202780","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00002b","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard '84. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(40)","","","Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera",""
"Occupations","term","041-003202781","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00002c","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, 1984, UK novelist. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(41)","","","Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pocket, his shoulders are slightly turned towards the left though he directly faces the camera",""
"Occupations","term","041-003202782","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00002d","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, 1984, UK writer and novelist. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(42)","","","Genre: Portrait Photography. Head and shoulders portrait of Ballard seated in an armchair, which is turned towards the left; his gaze averts the camera",""
"Occupations","term","041-003202783","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00002e","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, 1984, UK writer and novelist. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(43)","","","Genre: Portrait Photography. Head and shoulders portrait of Ballard standing in three quarter profile to the left",""
"Occupations","term","041-003202784","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00002f","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, 1984, UK novelist and writer. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(44)","","","Genre: Portrait Photography. Head and shoulders portrait of Ballard standing in three quarter profile to the left",""
"Occupations","term","041-003202785","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000030","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, 1984 UK writer and novelist. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(45)","","","Genre: Portrait Photography. Half length portrait of Ballard standing with his hands in his trouser pockets with the bottom button of his leather jacket fastened; he stands to the right of a corner of a room with plain walls and is slightly turned to the left",""
"Occupations","term","041-003202786","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000031","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard '84. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(46)","","","Genre: Portrait Photography. Half length portrait of Ballard standing with his hands in his trouser pockets with the bottom button of his leather jacket fastened; he stands to the right of a corner of a room with plain walls. He is slightly turned to the left, a variant of Godwin Photo 1 (45)",""
"Occupations","term","041-003203501","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x0002fc","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard, 1976. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(20)","","","Inscription: Handwritten in pencil on verso: 2744-3-14. Genre: Portrait Photography. J. G. Ballard stands to the left of a contemporary waist-high garden sculpture in the shape of a fungus. He wears plaid trousers, a checked shirt and a large lapel jacket that is fastened. He is looking beyond the camera to the right and slightly upwards. (One of four prints.)",""
"Occupations","term","041-003203502","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x0002fd","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard, 1976. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(21)","","","Inscription: Handwritten in pencil on verso: 2744-3-14a. Genre: Portrait Photography. J. G. Ballard stands to the left of a contemporary waist-high garden sculpture in the shape of a fungus. He wears plaid trousers, a checked shirt and a large lapel jacket that is fastened. He is looking beyond the camera to the right and slightly upwards. (One of four prints.)",""
"Occupations","term","041-003203503","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x0002fe","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, 1976. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(22)","","","Inscription: Handwritten in pencil on verso: 2744-3-14a. Genre: Portrait Photography. J. G. Ballard stands to the left of a contemporary waist-high garden sculpture in the shape of a fungus. He wears plaid trousers, a checked shirt and a large lapel jacket that is fastened. He is looking beyond the camera to the right and slightly upwards. (One of four prints.)",""
"Occupations","term","041-003203504","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x0002ff","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard, 1976. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(23)","","","Inscription: Handwritten in pencil on verso: 2744-3-14a. Genre: Portrait Photography. J. G. Ballard stands to the left of a contemporary waist-high garden sculpture in the shape of a fungus. He wears plaid trousers, a checked shirt and a large lapel jacket that is fastened. He is looking beyond the camera to the right and slightly upwards. (One of four prints.)",""
"Occupations","term","041-003203505","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000300","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard, 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(24)","","","Inscription: Handwritten in pencil on recto : J G Ballard 1984 verso: 1/ 5960.5.26/ N/ 25 S. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. (One of four copies.)",""
"Occupations","term","041-003203506","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000301","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard, 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(25)","","","Inscription: Handwritten in pencil on verso: 2/ 5960.5.26/ N/ 23./ ½ Ad. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. (One of four copies.)",""
"Occupations","term","041-003203507","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000302","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(26)","","","Inscription: Handwritten in pencil on verso: 5/ 5960.5.26/ N. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. (One of four copies.)",""
"Occupations","term","041-003203508","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000303","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard, 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(27)","","","Inscription: Handwritten in pencil on verso: 6/ 5960.5.26/ N. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. (One of four copies.)",""
